"","game_id","total_line","spread_line","home_score","away_score","result","total","season","week","home_team","away_team","posteam","defteam","off_epa","off_pass_epa","off_rush_epa","def_epa","def_pass_epa","def_rush_epa"
"1","2011_01_NO_GB",47.5,-4.5,42,34,-8,76,2011,1,"GB","NO","GB","NO",0.355355701497054,0.554185821396311,0.0724051462558026,0.160695369090461,0.275887107179628,-0.119055994840372
"2","2011_01_NO_GB",47.5,-4.5,42,34,-8,76,2011,1,"GB","NO","NO","GB",0.160695369090461,0.275887107179628,-0.119055994840372,0.355355701497054,0.554185821396311,0.0724051462558026
"3","2011_01_PIT_BAL",37,-1,35,7,-28,42,2011,1,"BAL","PIT","BAL","PIT",0.184658236342623,0.345858431037676,0.0335330538160115,-0.341010577386993,-0.378988563760908,-0.234197490710358
"4","2011_01_PIT_BAL",37,-1,35,7,-28,42,2011,1,"BAL","PIT","PIT","BAL",-0.341010577386993,-0.378988563760908,-0.234197490710358,0.184658236342623,0.345858431037676,0.0335330538160115
"5","2011_01_ATL_CHI",40.5,1,30,12,-18,42,2011,1,"CHI","ATL","ATL","CHI",-0.262554348651208,-0.29087361310461,-0.166268849509644,-0.055269048639618,0.0145449668203989,-0.150940106862604
"6","2011_01_ATL_CHI",40.5,1,30,12,-18,42,2011,1,"CHI","ATL","CHI","ATL",-0.055269048639618,0.0145449668203989,-0.150940106862604,-0.262554348651208,-0.29087361310461,-0.166268849509644
"7","2011_01_CIN_CLE",36.5,-6.5,17,27,10,44,2011,1,"CLE","CIN","CIN","CLE",0.0547794666119185,-0.0183105796469505,0.127869512870788,-0.150629515844409,-0.214655939319228,-0.0430651244067121
"8","2011_01_CIN_CLE",36.5,-6.5,17,27,10,44,2011,1,"CLE","CIN","CLE","CIN",-0.150629515844409,-0.214655939319228,-0.0430651244067121,0.0547794666119185,-0.0183105796469505,0.127869512870788
"9","2011_01_IND_HOU",44,-9,34,7,-27,41,2011,1,"HOU","IND","HOU","IND",-0.0317044173364853,0.142811938050224,-0.146517809038268,-0.364074914484798,-0.326114302607638,-0.444741214723763
"10","2011_01_IND_HOU",44,-9,34,7,-27,41,2011,1,"HOU","IND","IND","HOU",-0.364074914484798,-0.326114302607638,-0.444741214723763,-0.0317044173364853,0.142811938050224,-0.146517809038268
"11","2011_01_TEN_JAX",38,1,16,14,-2,30,2011,1,"JAX","TEN","JAX","TEN",-0.0107001011963814,0.139996672156052,-0.0958765383086266,0.0349640068776263,0.13254789876135,-0.227761855886246
"12","2011_01_TEN_JAX",38,1,16,14,-2,30,2011,1,"JAX","TEN","TEN","JAX",0.0349640068776263,0.13254789876135,-0.227761855886246,-0.0107001011963814,0.139996672156052,-0.0958765383086266
"13","2011_01_BUF_KC",38.5,-3.5,7,41,34,48,2011,1,"KC","BUF","BUF","KC",0.223898465245273,0.443864683363634,0.0676066786874894,-0.372663081479282,-0.44471744500968,-0.220548314026221
"14","2011_01_BUF_KC",38.5,-3.5,7,41,34,48,2011,1,"KC","BUF","KC","BUF",-0.372663081479282,-0.44471744500968,-0.220548314026221,0.223898465245273,0.443864683363634,0.0676066786874894
"15","2011_01_PHI_STL",44,3.5,13,31,18,44,2011,1,"LA","PHI","LA","PHI",-0.231807819129731,-0.243970375518164,-0.213096193916757,0.185842265932561,-0.0135090514128798,0.419564500061699
"16","2011_01_PHI_STL",44,3.5,13,31,18,44,2011,1,"LA","PHI","PHI","LA",0.185842265932561,-0.0135090514128798,0.419564500061699,-0.231807819129731,-0.243970375518164,-0.213096193916757
"17","2011_01_DET_TB",43.5,-1,20,27,7,47,2011,1,"TB","DET","DET","TB",0.102886411904602,0.415727257886601,-0.192077814306997,-0.0894288294856883,0.0292141304510489,-0.430527339303808
"18","2011_01_DET_TB",43.5,-1,20,27,7,47,2011,1,"TB","DET","TB","DET",-0.0894288294856883,0.0292141304510489,-0.430527339303808,0.102886411904602,0.415727257886601,-0.192077814306997
"19","2011_01_CAR_ARI",37.5,-6.5,28,21,-7,49,2011,1,"ARI","CAR","ARI","CAR",0.132567080402214,0.395432359088509,-0.198871749245724,0.125934003179496,0.348552713860621,-0.21211663155851
"20","2011_01_CAR_ARI",37.5,-6.5,28,21,-7,49,2011,1,"ARI","CAR","CAR","ARI",0.125934003179496,0.348552713860621,-0.21211663155851,0.132567080402214,0.395432359088509,-0.198871749245724
"21","2011_01_MIN_SD",43.5,-9,24,17,-7,41,2011,1,"LAC","MIN","LAC","MIN",0.0227626141591143,0.127066066339656,-0.170391926915963,-0.157432021047583,-0.695782303324665,0.194566240441278
"22","2011_01_MIN_SD",43.5,-9,24,17,-7,41,2011,1,"LAC","MIN","MIN","LAC",-0.157432021047583,-0.695782303324665,0.194566240441278,0.0227626141591143,0.127066066339656,-0.170391926915963
"23","2011_01_SEA_SF",38,-6,33,17,-16,50,2011,1,"SF","SEA","SEA","SF",-0.15409316472844,-0.138414448353052,-0.184025259626908,-0.235212551306219,-0.0164314124765902,-0.381066643859305
"24","2011_01_SEA_SF",38,-6,33,17,-16,50,2011,1,"SF","SEA","SF","SEA",-0.235212551306219,-0.0164314124765902,-0.381066643859305,-0.15409316472844,-0.138414448353052,-0.184025259626908
"25","2011_01_NYG_WAS",40.5,1,28,14,-14,42,2011,1,"WAS","NYG","NYG","WAS",-0.105339714670688,-0.0849597323815235,-0.142023682791185,0.0433683885683347,0.257375244750157,-0.269410862774328
"26","2011_01_NYG_WAS",40.5,1,28,14,-14,42,2011,1,"WAS","NYG","WAS","NYG",0.0433683885683347,0.257375244750157,-0.269410862774328,-0.105339714670688,-0.0849597323815235,-0.142023682791185
