,home_team,away_team,week,predicted_winner,actual_winner,win_probability,correct_prediction
2786,IND,TEN,8,IND,TEN,0.590482289,0
2787,NYJ,CIN,8,CIN,NYJ,0.848444886,0
2788,LAC,NE,8,LAC,NE,0.542940912,0
2789,SEA,JAX,8,SEA,SEA,0.592431916,1
2790,DEN,WAS,8,DEN,DEN,0.605830121,1
2791,NO,TB,8,TB,NO,0.656043269,0
2792,MIN,DAL,8,MIN,DAL,0.565779511,0
2793,KC,NYG,8,KC,KC,0.79048178,1
2794,IND,NYJ,9,IND,IND,0.827484646,1
2795,BAL,MIN,9,BAL,BAL,0.697430671,1
2796,CAR,NE,9,NE,NE,0.612728311,1
2797,CIN,CLE,9,CIN,CLE,0.54694343,0
2798,DAL,DEN,9,DAL,DEN,0.810991867,0
2799,JAX,BUF,9,BUF,JAX,0.910532318,0
2800,MIA,HOU,9,MIA,MIA,0.615216799,1
2801,NO,ATL,9,NO,ATL,0.734126377,0
2802,NYG,LV,9,LV,NYG,0.642336952,0
2803,PHI,LAC,9,LAC,LAC,0.573902853,1
2804,KC,GB,9,KC,KC,0.727329873,1
2805,SF,ARI,9,SF,ARI,0.710851352,0
2806,LA,TEN,9,LA,TEN,0.710365219,0
2807,PIT,CHI,9,PIT,PIT,0.74909784,1
2808,DAL,ATL,10,DAL,DAL,0.796957516,1
2809,IND,JAX,10,IND,IND,0.79840334,1
2810,NE,CLE,10,NE,NE,0.52424771,1
2811,NYJ,BUF,10,BUF,NYJ,0.890086192,0
2812,TEN,NO,10,TEN,TEN,0.641843486,1
2813,WAS,TB,10,TB,WAS,0.87091271,0
2814,LAC,MIN,10,LAC,LAC,0.552610673,1
2815,DEN,PHI,10,DEN,DEN,0.591681906,1
2816,LV,KC,10,KC,LV,0.631679908,0
2817,SF,LA,10,LA,SF,0.665777133,0
2818,ATL,NE,11,NE,ATL,0.592211528,0
